frecuency;magnitude;;;
420000000;-87.8805694580078;;;
420042957.746479;-90.3902816772461;;;
420085915.492958;-95.283821105957;;;
420128873.239437;-95.7920150756836;;;
420171830.985915;-95.8184509277344;;;
420214788.732394;-93.8985366821289;;;
420257746.478873;-93.52880859375;;;
420300704.225352;-96.9918441772461;;;
420343661.971831;-97.7021484375;;;
420386619.71831;-96.0025634765625;;;
420429577.464789;-97.3890075683594;;;
420472535.211268;-94.4259796142578;;;
420515492.957747;-93.6593246459961;;;
420558450.704225;-98.3252029418945;;;
420601408.450704;-96.1494369506836;;;
420644366.197183;-96.537353515625;;;
420687323.943662;-97.6316375732422;;;
420730281.690141;-96.7251205444336;;;
420773239.43662;-94.7027206420898;;;
420816197.183099;-94.6261672973633;;;
420859154.929577;-94.6955947875977;;;
420902112.676056;-97.4287109375;;;
420945070.422535;-95.6898040771484;;;
420988028.169014;-96.4691162109375;;;
421030985.915493;-96.9868469238281;;;
421073943.661972;-94.5113372802734;;;
421116901.408451;-96.3363494873047;;;
421159859.15493;-96.8403396606445;;;
421202816.901408;-95.7892150878906;;;
421245774.647887;-96.5823822021484;;;
421288732.394366;-96.4106597900391;;;
421331690.140845;-96.0676727294922;;;
421374647.887324;-96.5112609863281;;;
421417605.633803;-93.7941665649414;;;
421460563.380282;-94.3218078613281;;;
421503521.126761;-95.0645294189453;;;
421546478.873239;-99.5087890625;;;
421589436.619718;-98.8573150634766;;;
421632394.366197;-96.4785766601563;;;
421675352.112676;-95.6318740844727;;;
421718309.859155;-100.010269165039;;;
421761267.605634;-93.8176193237305;;;
421804225.352113;-97.2270431518555;;;
421847183.098592;-96.0367584228516;;;
421890140.84507;-93.6663818359375;;;
421933098.591549;-94.9687805175781;;;
421976056.338028;-94.2226486206055;;;
422019014.084507;-94.8855590820313;;;
422061971.830986;-97.0170135498047;;;
422104929.577465;-96.6204147338867;;;
422147887.323944;-96.3276596069336;;;
422190845.070423;-96.9171371459961;;;
422233802.816901;-95.0210494995117;;;
422276760.56338;-94.9692230224609;;;
422319718.309859;-98.3306350708008;;;
422362676.056338;-98.4900283813477;;;
422405633.802817;-95.9012069702148;;;
422448591.549296;-92.8147583007813;;;
422491549.295775;-95.1945724487305;;;
422534507.042253;-96.3751602172852;;;
422577464.788732;-93.9261627197266;;;
422620422.535211;-96.484130859375;;;
422663380.28169;-95.5211029052734;;;
422706338.028169;-93.7771224975586;;;
422749295.774648;-99.2699127197266;;;
422792253.521127;-94.7884826660156;;;
422835211.267606;-97.4046096801758;;;
422878169.014085;-96.1277542114258;;;
422921126.760563;-92.1440887451172;;;
422964084.507042;-96.1625289916992;;;
423007042.253521;-95.4709548950195;;;
423050000;-91.9756240844727;;;
423092957.746479;-95.3045883178711;;;
423135915.492958;-95.721923828125;;;
423178873.239437;-96.1611785888672;;;
423221830.985915;-94.9101104736328;;;
423264788.732394;-97.3279876708984;;;
423307746.478873;-98.0774765014648;;;
423350704.225352;-97.1169967651367;;;
423393661.971831;-95.9986724853516;;;
423436619.71831;-94.4149169921875;;;
423479577.464789;-95.6757278442383;;;
423522535.211268;-96.3928146362305;;;
423565492.957747;-97.7054977416992;;;
423608450.704225;-95.839225769043;;;
423651408.450704;-97.1084365844727;;;
423694366.197183;-95.3048782348633;;;
423737323.943662;-95.4017868041992;;;
423780281.690141;-97.0841217041016;;;
423823239.43662;-93.6078033447266;;;
423866197.183099;-95.0557022094727;;;
423909154.929577;-92.5715179443359;;;
423952112.676056;-94.2465744018555;;;
423995070.422535;-94.9498672485352;;;
424038028.169014;-96.7217407226563;;;
424080985.915493;-94.5051727294922;;;
424123943.661972;-95.0800018310547;;;
424166901.408451;-96.8719100952148;;;
424209859.15493;-93.850715637207;;;
424252816.901408;-96.6147079467773;;;
424295774.647887;-98.3283462524414;;;
424338732.394366;-95.5976409912109;;;
424381690.140845;-96.9186172485352;;;
424424647.887324;-98.2068176269531;;;
424467605.633803;-95.0713424682617;;;
424510563.380282;-94.9461441040039;;;
424553521.126761;-96.7179641723633;;;
424596478.873239;-94.5736083984375;;;
424639436.619718;-96.1646347045898;;;
424682394.366197;-94.6363525390625;;;
424725352.112676;-95.8429183959961;;;
424768309.859155;-97.8772430419922;;;
424811267.605634;-96.6278762817383;;;
424854225.352113;-95.310791015625;;;
424897183.098592;-93.4295959472656;;;
424940140.84507;-96.3315353393555;;;
424983098.591549;-93.697151184082;;;
425026056.338028;-94.8233413696289;;;
425069014.084507;-95.8917465209961;;;
425111971.830986;-96.4230651855469;;;
425154929.577465;-95.5232925415039;;;
425197887.323944;-95.6536865234375;;;
425240845.070423;-95.7451019287109;;;
425283802.816901;-94.1632537841797;;;
425326760.56338;-95.6614761352539;;;
425369718.309859;-96.305046081543;;;
425412676.056338;-95.4032974243164;;;
425455633.802817;-96.7939071655273;;;
425498591.549296;-98.5278472900391;;;
425541549.295775;-92.5638885498047;;;
425584507.042253;-95.4202575683594;;;
425627464.788732;-96.7477874755859;;;
425670422.535211;-94.498420715332;;;
425713380.28169;-93.3063125610352;;;
425756338.028169;-93.7995834350586;;;
425799295.774648;-97.3443603515625;;;
425842253.521127;-93.49951171875;;;
425885211.267606;-96.0377578735352;;;
425928169.014085;-94.4821090698242;;;
425971126.760563;-95.2379531860352;;;
426014084.507042;-96.6173324584961;;;
426057042.253521;-96.2522125244141;;;
426100000;-96.7884674072266;;;
426142957.746479;-99.1773300170898;;;
426185915.492958;-94.295768737793;;;
426228873.239437;-97.3201293945313;;;
426271830.985915;-96.7508010864258;;;
426314788.732394;-94.4275283813477;;;
426357746.478873;-95.3369674682617;;;
426400704.225352;-95.5684051513672;;;
426443661.971831;-97.2832183837891;;;
426486619.71831;-97.8994445800781;;;
426529577.464789;-97.7022476196289;;;
426572535.211268;-94.1086578369141;;;
426615492.957747;-94.2382049560547;;;
426658450.704225;-97.7749252319336;;;
426701408.450704;-95.2135848999023;;;
426744366.197183;-97.0090713500977;;;
426787323.943662;-96.3618011474609;;;
426830281.690141;-96.0959854125977;;;
426873239.43662;-95.0549163818359;;;
426916197.183099;-95.4955444335938;;;
426959154.929577;-97.9457244873047;;;
427002112.676056;-96.4447479248047;;;
427045070.422535;-96.6376266479492;;;
427088028.169014;-95.9943771362305;;;
427130985.915493;-96.540397644043;;;
427173943.661972;-97.6110000610352;;;
427216901.408451;-96.8272857666016;;;
427259859.15493;-96.3498382568359;;;
427302816.901408;-96.1767578125;;;
427345774.647887;-96.6918106079102;;;
427388732.394366;-94.9295196533203;;;
427431690.140845;-96.2236251831055;;;
427474647.887324;-97.2168807983398;;;
427517605.633803;-96.647819519043;;;
427560563.380282;-96.8641204833984;;;
427603521.126761;-96.1647338867188;;;
427646478.873239;-96.600212097168;;;
427689436.619718;-99.0752563476563;;;
427732394.366197;-98.7005920410156;;;
427775352.112676;-96.5737533569336;;;
427818309.859155;-99.0507583618164;;;
427861267.605634;-95.1366653442383;;;
427904225.352113;-95.3741989135742;;;
427947183.098592;-97.0184631347656;;;
427990140.84507;-97.7621688842773;;;
428033098.591549;-96.0157623291016;;;
428076056.338028;-97.3852920532227;;;
428119014.084507;-94.3220138549805;;;
428161971.830986;-94.8752136230469;;;
428204929.577465;-96.4696731567383;;;
428247887.323944;-99.1372146606445;;;
428290845.070423;-98.3204498291016;;;
428333802.816901;-95.9579467773438;;;
428376760.56338;-97.0242614746094;;;
428419718.309859;-95.1028137207031;;;
428462676.056338;-96.0550537109375;;;
428505633.802817;-97.6109924316406;;;
428548591.549296;-97.4593276977539;;;
428591549.295775;-95.3548202514648;;;
428634507.042253;-96.6136322021484;;;
428677464.788732;-94.2682113647461;;;
428720422.535211;-95.9071807861328;;;
428763380.28169;-97.0112380981445;;;
428806338.028169;-94.2597198486328;;;
428849295.774648;-95.3299331665039;;;
428892253.521127;-97.2264785766602;;;
428935211.267606;-97.7313842773438;;;
428978169.014085;-95.0060272216797;;;
429021126.760563;-95.6684875488281;;;
429064084.507042;-93.9998779296875;;;
429107042.253521;-95.7434463500977;;;
429150000;-95.7091979980469;;;
429192957.746479;-93.6830062866211;;;
429235915.492958;-95.5366744995117;;;
429278873.239437;-98.9134674072266;;;
429321830.985915;-97.8719635009766;;;
429364788.732394;-95.2041625976563;;;
429407746.478873;-95.4749984741211;;;
429450704.225352;-95.5641860961914;;;
429493661.971831;-97.5982971191406;;;
429536619.71831;-96.697380065918;;;
429579577.464789;-94.9487380981445;;;
429622535.211268;-94.7591857910156;;;
429665492.957747;-95.062141418457;;;
429708450.704225;-95.9336929321289;;;
429751408.450704;-96.7454299926758;;;
429794366.197183;-96.1694793701172;;;
429837323.943662;-95.4953079223633;;;
429880281.690141;-95.0287704467773;;;
429923239.43662;-96.0839157104492;;;
429966197.183099;-94.9242706298828;;;
430009154.929577;-94.4470138549805;;;
430052112.676056;-94.2141189575195;;;
430095070.422535;-95.5295944213867;;;
430138028.169014;-97.3434829711914;;;
430180985.915493;-95.9759063720703;;;
430223943.661972;-97.8694229125977;;;
430266901.408451;-95.9878921508789;;;
430309859.15493;-96.0467910766602;;;
430352816.901408;-95.2786331176758;;;
430395774.647887;-95.6407623291016;;;
430438732.394366;-96.9344787597656;;;
430481690.140845;-95.2256698608398;;;
430524647.887324;-94.4907684326172;;;
430567605.633803;-94.4248657226563;;;
430610563.380282;-93.7388153076172;;;
430653521.126761;-93.9033737182617;;;
430696478.873239;-93.0610504150391;;;
430739436.619718;-94.2898788452148;;;
430782394.366197;-94.8693695068359;;;
430825352.112676;-93.8240280151367;;;
430868309.859155;-96.2717895507813;;;
430911267.605634;-97.5915451049805;;;
430954225.352113;-94.8091201782227;;;
430997183.098592;-95.6793670654297;;;
431040140.84507;-96.1259689331055;;;
431083098.591549;-93.5696640014648;;;
431126056.338028;-95.0262069702148;;;
431169014.084507;-94.6827239990234;;;
431211971.830986;-95.8545608520508;;;
431254929.577465;-95.041618347168;;;
431297887.323944;-93.9567260742188;;;
431340845.070423;-95.3602905273438;;;
431383802.816901;-97.634895324707;;;
431426760.56338;-95.2978210449219;;;
431469718.309859;-92.739372253418;;;
431512676.056338;-95.4558334350586;;;
431555633.802817;-95.1664047241211;;;
431598591.549296;-97.2437286376953;;;
431641549.295775;-99.9370803833008;;;
431684507.042253;-97.9264602661133;;;
431727464.788732;-96.2861251831055;;;
431770422.535211;-95.7542114257813;;;
431813380.28169;-95.8620758056641;;;
431856338.028169;-94.4782791137695;;;
431899295.774648;-93.7195434570313;;;
431942253.521127;-93.4427947998047;;;
431985211.267606;-94.61669921875;;;
432028169.014085;-94.279182434082;;;
432071126.760563;-93.9036254882813;;;
432114084.507042;-94.9141998291016;;;
432157042.253521;-95.6504287719727;;;
432200000;-96.6335525512695;;;
432242957.746479;-95.6985855102539;;;
432285915.492958;-96.6564559936523;;;
432328873.239437;-97.013786315918;;;
432371830.985915;-96.1083068847656;;;
432414788.732394;-93.7987670898438;;;
432457746.478873;-90.2145538330078;;;
432500704.225352;-90.8274688720703;;;
432543661.971831;-92.251220703125;;;
432586619.71831;-94.7770385742188;;;
432629577.464789;-95.8915557861328;;;
432672535.211268;-93.9981079101563;;;
432715492.957747;-94.1599960327148;;;
432758450.704225;-94.450569152832;;;
432801408.450704;-94.1873321533203;;;
432844366.197183;-95.3811569213867;;;
432887323.943662;-94.6660614013672;;;
432930281.690141;-95.1493682861328;;;
432973239.43662;-96.4570693969727;;;
433016197.183099;-94.9972381591797;;;
433059154.929577;-94.8463897705078;;;
433102112.676056;-95.5101547241211;;;
433145070.422535;-94.4828720092773;;;
433188028.169014;-94.8983840942383;;;
433230985.915493;-96.6045837402344;;;
433273943.661972;-97.575325012207;;;
433316901.408451;-95.2669296264648;;;
433359859.15493;-95.0507659912109;;;
433402816.901408;-95.4541778564453;;;
433445774.647887;-96.2176971435547;;;
433488732.394366;-97.039306640625;;;
433531690.140845;-97.471435546875;;;
433574647.887324;-95.9163208007813;;;
433617605.633803;-94.5832138061523;;;
433660563.380282;-95.0479431152344;;;
433703521.126761;-96.4194412231445;;;
433746478.873239;-94.085334777832;;;
433789436.619718;-91.4863739013672;;;
433832394.366197;-93.2081069946289;;;
433875352.112676;-95.3105926513672;;;
433918309.859155;-95.144172668457;;;
433961267.605634;-95.3080902099609;;;
434004225.352113;-94.771728515625;;;
434047183.098592;-92.417366027832;;;
434090140.84507;-91.5585327148438;;;
434133098.591549;-91.7880477905273;;;
434176056.338028;-90.902717590332;;;
434219014.084507;-91.9736328125;;;
434261971.830986;-94.4160995483398;;;
434304929.577465;-94.2653961181641;;;
434347887.323944;-94.0890350341797;;;
434390845.070423;-92.2414398193359;;;
434433802.816901;-91.6303482055664;;;
434476760.56338;-93.124137878418;;;
434519718.309859;-92.8187866210938;;;
434562676.056338;-91.1860656738281;;;
434605633.802817;-90.9771881103516;;;
434648591.549296;-90.4861297607422;;;
434691549.295775;-88.9938888549805;;;
434734507.042253;-88.6851119995117;;;
434777464.788732;-88.4642028808594;;;
434820422.535211;-89.8216857910156;;;
434863380.28169;-91.4812469482422;;;
434906338.028169;-89.8140106201172;;;
434949295.774648;-89.5553131103516;;;
434992253.521127;-90.1021347045898;;;
435035211.267606;-87.2540054321289;;;
435078169.014085;-86.5580368041992;;;
435121126.760563;-86.1285400390625;;;
435164084.507042;-86.6682510375977;;;
435207042.253521;-86.7705230712891;;;
435250000;-85.111946105957;;;
435292957.746479;-84.0805435180664;;;
435335915.492958;-83.6209335327148;;;
435378873.239437;-84.6406326293945;;;
435421830.985915;-85.0967407226563;;;
435464788.732394;-84.701286315918;;;
435507746.478873;-84.4942932128906;;;
435550704.225352;-85.1861114501953;;;
435593661.971831;-84.5324554443359;;;
435636619.71831;-83.4585876464844;;;
435679577.464789;-82.9414901733398;;;
435722535.211268;-83.6621704101563;;;
435765492.957747;-83.2063980102539;;;
435808450.704225;-82.152229309082;;;
435851408.450704;-81.9332122802734;;;
435894366.197183;-81.466178894043;;;
435937323.943662;-79.9823684692383;;;
435980281.690141;-79.3492202758789;;;
436023239.43662;-79.1098251342773;;;
436066197.183099;-78.9299468994141;;;
436109154.929577;-79.8192520141602;;;
436152112.676056;-79.7312164306641;;;
436195070.422535;-79.7237014770508;;;
436238028.169014;-79.7084655761719;;;
436280985.915493;-78.1391372680664;;;
436323943.661972;-76.7827224731445;;;
436366901.408451;-78.9417266845703;;;
436409859.15493;-78.8367233276367;;;
436452816.901408;-76.0361557006836;;;
436495774.647887;-75.7454528808594;;;
436538732.394366;-75.8398132324219;;;
436581690.140845;-76.1802673339844;;;
436624647.887324;-76.7857971191406;;;
436667605.633803;-76.3251571655273;;;
436710563.380282;-78.1899795532227;;;
436753521.126761;-76.8894195556641;;;
436796478.873239;-75.2814331054688;;;
436839436.619718;-76.4976043701172;;;
436882394.366197;-75.6733093261719;;;
436925352.112676;-76.1525726318359;;;
436968309.859155;-75.2208557128906;;;
437011267.605634;-75.9847259521484;;;
437054225.352113;-75.3654632568359;;;
437097183.098592;-73.3804244995117;;;
437140140.84507;-73.2849960327148;;;
437183098.591549;-72.6767654418945;;;
437226056.338028;-72.0444183349609;;;
437269014.084507;-69.5076751708984;;;
437311971.830986;-63.1077842712402;;;
437354929.577465;-52.6458625793457;;;
437397887.323944;-42.2175064086914;;;
437440845.070423;-34.8011817932129;;;
437483802.816901;-31.5423431396484;;;
437526760.56338;-32.678840637207;;;
437569718.309859;-37.1363906860352;;;
437612676.056338;-45.6551208496094;;;
437655633.802817;-57.8054122924805;;;
437698591.549296;-67.2520599365234;;;
437741549.295775;-69.57275390625;;;
437784507.042253;-71.8908233642578;;;
437827464.788732;-73.9408721923828;;;
437870422.535211;-74.9080657958984;;;
437913380.28169;-73.283203125;;;
437956338.028169;-74.9959335327148;;;
437999295.774648;-76.5297317504883;;;
438042253.521127;-75.0376815795898;;;
438085211.267606;-75.1731948852539;;;
438128169.014085;-76.104377746582;;;
438171126.760563;-76.0904388427734;;;
438214084.507042;-77.3944396972656;;;
438257042.253521;-75.8748168945313;;;
438300000;-77.1854553222656;;;
438342957.746479;-75.9229965209961;;;
438385915.492958;-74.4177474975586;;;
438428873.239437;-76.0464935302734;;;
438471830.985915;-76.8187866210938;;;
438514788.732394;-76.5308837890625;;;
438557746.478873;-74.2479934692383;;;
438600704.225352;-76.6569747924805;;;
438643661.971831;-78.4209060668945;;;
438686619.71831;-79.2824554443359;;;
438729577.464789;-82.2087326049805;;;
438772535.211268;-80.429443359375;;;
438815492.957747;-80.7347183227539;;;
438858450.704225;-79.3333435058594;;;
438901408.450704;-80.4346542358398;;;
438944366.197183;-82.2599182128906;;;
438987323.943662;-82.2327499389648;;;
439030281.690141;-82.357795715332;;;
439073239.43662;-84.7111740112305;;;
439116197.183099;-85.645881652832;;;
439159154.929577;-84.7640075683594;;;
439202112.676056;-84.983757019043;;;
439245070.422535;-85.3244476318359;;;
439288028.169014;-85.1306991577148;;;
439330985.915493;-83.8009643554688;;;
439373943.661972;-84.4840393066406;;;
439416901.408451;-86.2216949462891;;;
439459859.15493;-86.9967727661133;;;
439502816.901408;-86.3115310668945;;;
439545774.647887;-85.4292755126953;;;
439588732.394366;-87.5451278686523;;;
439631690.140845;-88.4783325195313;;;
439674647.887324;-86.561653137207;;;
439717605.633803;-85.1449966430664;;;
439760563.380282;-86.9300308227539;;;
439803521.126761;-89.5134658813477;;;
439846478.873239;-90.5252990722656;;;
439889436.619718;-90.5741424560547;;;
439932394.366197;-88.6505889892578;;;
439975352.112676;-89.1080322265625;;;
440018309.859155;-93.213508605957;;;
440061267.605634;-90.3169250488281;;;
440104225.352113;-89.0029678344727;;;
440147183.098592;-89.9608688354492;;;
440190140.84507;-89.8669662475586;;;
440233098.591549;-89.1006317138672;;;
440276056.338028;-91.1060791015625;;;
440319014.084507;-90.6026077270508;;;
440361971.830986;-83.5599899291992;;;
440404929.577465;-86.0907516479492;;;
440447887.323944;-89.0162811279297;;;
440490845.070423;-91.5985336303711;;;
440533802.816901;-94.5615539550781;;;
440576760.56338;-95.3324661254883;;;
440619718.309859;-91.7072296142578;;;
440662676.056338;-92.8163528442383;;;
440705633.802817;-95.7994537353516;;;
440748591.549296;-90.4861145019531;;;
440791549.295775;-89.672721862793;;;
440834507.042253;-90.9337387084961;;;
440877464.788732;-92.4433135986328;;;
440920422.535211;-94.6782913208008;;;
440963380.28169;-92.3827362060547;;;
441006338.028169;-91.0476684570313;;;
441049295.774648;-87.9028472900391;;;
441092253.521127;-79.0598831176758;;;
441135211.267606;-71.6920471191406;;;
441178169.014085;-68.6650924682617;;;
441221126.760563;-69.6034164428711;;;
441264084.507042;-73.5852661132813;;;
441307042.253521;-81.1204681396484;;;
441350000;-92.3117294311523;;;
441392957.746479;-93.2242584228516;;;
441435915.492958;-91.2096328735352;;;
441478873.239437;-92.0113983154297;;;
441521830.985915;-93.9357376098633;;;
441564788.732394;-93.3985748291016;;;
441607746.478873;-95.3132476806641;;;
441650704.225352;-94.1603622436523;;;
441693661.971831;-94.3196258544922;;;
441736619.71831;-90.5112991333008;;;
441779577.464789;-89.2287445068359;;;
441822535.211268;-93.8768997192383;;;
441865492.957747;-89.8453140258789;;;
441908450.704225;-90.4635391235352;;;
441951408.450704;-95.2236099243164;;;
441994366.197183;-95.8413238525391;;;
442037323.943662;-95.4333343505859;;;
442080281.690141;-97.979118347168;;;
442123239.43662;-95.8307113647461;;;
442166197.183099;-94.7184524536133;;;
442209154.929577;-94.1838684082031;;;
442252112.676056;-92.7070083618164;;;
442295070.422535;-88.8191909790039;;;
442338028.169014;-92.9024887084961;;;
442380985.915493;-93.4381790161133;;;
442423943.661972;-96.4039077758789;;;
442466901.408451;-93.9058151245117;;;
442509859.15493;-94.6079711914063;;;
442552816.901408;-95.2463760375977;;;
442595774.647887;-97.0991592407227;;;
442638732.394366;-95.4572906494141;;;
442681690.140845;-95.7584609985352;;;
442724647.887324;-95.2757034301758;;;
442767605.633803;-90.6286926269531;;;
442810563.380282;-91.3875579833984;;;
442853521.126761;-89.6494750976563;;;
442896478.873239;-92.7887649536133;;;
442939436.619718;-94.8681716918945;;;
442982394.366197;-94.9036178588867;;;
443025352.112676;-94.4958801269531;;;
443068309.859155;-94.1229476928711;;;
443111267.605634;-96.3474044799805;;;
443154225.352113;-94.4101257324219;;;
443197183.098592;-93.9366683959961;;;
443240140.84507;-94.6591033935547;;;
443283098.591549;-93.6975402832031;;;
443326056.338028;-92.5777587890625;;;
443369014.084507;-92.2691116333008;;;
443411971.830986;-93.7151718139648;;;
443454929.577465;-94.7999420166016;;;
443497887.323944;-95.3579711914063;;;
443540845.070423;-94.1301727294922;;;
443583802.816901;-92.4258422851563;;;
443626760.56338;-93.7763137817383;;;
443669718.309859;-93.1771621704102;;;
443712676.056338;-94.5680236816406;;;
443755633.802817;-94.3594284057617;;;
443798591.549296;-92.9274673461914;;;
443841549.295775;-93.6023178100586;;;
443884507.042253;-94.3316497802734;;;
443927464.788732;-94.4553833007813;;;
443970422.535211;-92.8051452636719;;;
444013380.28169;-95.3967666625977;;;
444056338.028169;-92.7403564453125;;;
444099295.774648;-94.9186248779297;;;
444142253.521127;-94.3359756469727;;;
444185211.267606;-95.8832168579102;;;
444228169.014085;-100.446662902832;;;
444271126.760563;-99.0799102783203;;;
444314084.507042;-98.9691772460938;;;
444357042.253521;-96.7319030761719;;;
444400000;-94.7617416381836;;;
444442957.746479;-95.1571807861328;;;
444485915.492958;-94.6568603515625;;;
444528873.239437;-95.3794021606445;;;
444571830.985915;-95.1529998779297;;;
444614788.732394;-97.6387100219727;;;
444657746.478873;-96.5824127197266;;;
444700704.225352;-94.697868347168;;;
444743661.971831;-94.2341842651367;;;
444786619.71831;-95.8487396240234;;;
444829577.464789;-96.0209426879883;;;
444872535.211268;-95.3879547119141;;;
444915492.957747;-95.9917297363281;;;
444958450.704225;-95.6757888793945;;;
445001408.450704;-95.9777679443359;;;
445044366.197183;-92.733268737793;;;
445087323.943662;-95.4678497314453;;;
445130281.690141;-93.6773986816406;;;
445173239.43662;-96.790153503418;;;
445216197.183099;-97.3786087036133;;;
445259154.929577;-96.6374359130859;;;
445302112.676056;-96.5773239135742;;;
445345070.422535;-94.6508178710938;;;
445388028.169014;-95.7551574707031;;;
445430985.915493;-96.9116668701172;;;
445473943.661972;-96.7639007568359;;;
445516901.408451;-94.649787902832;;;
445559859.15493;-95.3805999755859;;;
445602816.901408;-98.1914367675781;;;
445645774.647887;-96.9270401000977;;;
445688732.394366;-98.6725997924805;;;
445731690.140845;-98.5409622192383;;;
445774647.887324;-94.7632064819336;;;
445817605.633803;-96.8230361938477;;;
445860563.380282;-95.4766159057617;;;
445903521.126761;-95.2986068725586;;;
445946478.873239;-94.9133834838867;;;
445989436.619718;-96.1613922119141;;;
446032394.366197;-94.8719329833984;;;
446075352.112676;-93.0870208740234;;;
446118309.859155;-94.3933868408203;;;
446161267.605634;-96.3629837036133;;;
446204225.352113;-94.6157150268555;;;
446247183.098592;-94.5673141479492;;;
446290140.84507;-96.3706741333008;;;
446333098.591549;-95.2857818603516;;;
446376056.338028;-96.1152038574219;;;
446419014.084507;-96.4540634155273;;;
446461971.830986;-96.3650207519531;;;
446504929.577465;-97.1354751586914;;;
446547887.323944;-95.6433715820313;;;
446590845.070423;-95.1798858642578;;;
446633802.816901;-99.5627746582031;;;
446676760.56338;-95.2879867553711;;;
446719718.309859;-97.8035888671875;;;
446762676.056338;-96.9799194335938;;;
446805633.802817;-95.0585403442383;;;
446848591.549296;-94.3108367919922;;;
446891549.295775;-99.3139190673828;;;
446934507.042253;-95.6745910644531;;;
446977464.788732;-95.9629440307617;;;
447020422.535211;-96.607795715332;;;
447063380.28169;-94.8294219970703;;;
447106338.028169;-97.9224166870117;;;
447149295.774648;-95.6937484741211;;;
447192253.521127;-94.5546569824219;;;
447235211.267606;-98.3139419555664;;;
447278169.014085;-95.4113235473633;;;
447321126.760563;-97.6780471801758;;;
447364084.507042;-97.7354049682617;;;
447407042.253521;-99.7698287963867;;;
447450000;-93.4005584716797;;;
447492957.746479;-97.9399719238281;;;
447535915.492958;-97.332275390625;;;
447578873.239437;-96.3020248413086;;;
447621830.985915;-97.2198944091797;;;
447664788.732394;-98.9276733398438;;;
447707746.478873;-97.3095397949219;;;
447750704.225352;-94.1146621704102;;;
447793661.971831;-95.9668731689453;;;
447836619.71831;-95.4728927612305;;;
447879577.464789;-95.0005722045898;;;
447922535.211268;-97.4084777832031;;;
447965492.957747;-95.2004165649414;;;
448008450.704225;-98.2516403198242;;;
448051408.450704;-97.0536727905273;;;
448094366.197183;-97.9172210693359;;;
448137323.943662;-98.6836090087891;;;
448180281.690141;-97.4167327880859;;;
448223239.43662;-93.2960891723633;;;
448266197.183099;-97.0830383300781;;;
448309154.929577;-94.3494491577148;;;
448352112.676056;-94.493278503418;;;
448395070.422535;-95.0287780761719;;;
448438028.169014;-94.30224609375;;;
448480985.915493;-95.1051788330078;;;
448523943.661972;-93.8399353027344;;;
448566901.408451;-94.3531951904297;;;
448609859.15493;-94.2635803222656;;;
448652816.901408;-95.9235153198242;;;
448695774.647887;-95.1284942626953;;;
448738732.394366;-97.2425308227539;;;
448781690.140845;-96.0059585571289;;;
448824647.887324;-93.9887542724609;;;
448867605.633803;-97.7372512817383;;;
448910563.380282;-99.4645843505859;;;
448953521.126761;-96.4316101074219;;;
448996478.873239;-95.5511093139648;;;
449039436.619718;-94.8041229248047;;;
449082394.366197;-100.705284118652;;;
449125352.112676;-96.3702392578125;;;
449168309.859155;-95.3915710449219;;;
449211267.605634;-97.351921081543;;;
449254225.352113;-93.2361679077148;;;
449297183.098592;-97.993896484375;;;
449340140.84507;-99.2399520874023;;;
449383098.591549;-96.3761901855469;;;
449426056.338028;-97.8597106933594;;;
449469014.084507;-95.9548797607422;;;
449511971.830986;-95.3943786621094;;;
449554929.577465;-95.5321807861328;;;
449597887.323944;-96.1561737060547;;;
449640845.070423;-94.7958297729492;;;
449683802.816901;-95.5295257568359;;;
449726760.56338;-96.6095123291016;;;
449769718.309859;-96.8006591796875;;;
449812676.056338;-95.7052764892578;;;
449855633.802817;-97.5845184326172;;;
449898591.549296;-94.0076293945313;;;
449941549.295775;-94.2329864501953;;;
449984507.042253;-91.8576126098633;;;
450027464.788732;-93.3889083862305;;;
450070422.535211;-93.9041290283203;;;
450113380.28169;-97.0259323120117;;;
450156338.028169;-99.333610534668;;;
450199295.774648;-93.6585311889648;;;
450242253.521127;-96.9827270507813;;;
450285211.267606;-95.4598693847656;;;
450328169.014085;-95.7389526367188;;;
450371126.760563;-98.6318588256836;;;
450414084.507042;-97.5067291259766;;;
450457042.253521;-98.3509521484375;;;
450500000;-98.3521499633789;;;